Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
Sparks,Coldplay,https://m.tiktok.com/h5/share/music/7067009326149372719.html?language=en&source=h5_m&u_code=e0ci2edjc0b615&_d=e0ci2edjc0b615&share_music_id=7067009326149372719,472187997,57980,3056.0,7279.0,13118.0,44255.0,nan,nan,1.0,0.58,0.035,0.016,0.11361522597689687,0.7632804415315626,nan,0.2964184837871427,0.554886415612136,0.23296234182039946
Hollywood,MARINA,https://m.tiktok.com/h5/share/music/7064975334369725186.html?language=en&source=h5_m&u_code=e0chhfh5d063gk&_d=e0chhfh5d063gk&share_music_id=7064975334369725186,469840716,7905,2774.0,4568.0,6393.0,7894.0,7904.0,788.4,0.102,0.488,0.035,0.016,0.7524345999618101,0.9986084756483239,0.9987348178137652,0.8098555865214087,0.7145315188487408,0.433912091349914
Tội Cho Anh,Lữ Bình,https://www.tiktok.com/music/RIP-by-Faouzia-7065425482363308805?_r=1&language=en&source=h5_m&u_code=e0chefd2j96330&_d=e0chefd2j96330&share_music_id=7065425482363308805,470846272,15577,2730.0,5629.0,8130.0,14682.0,nan,nan,0.303,0.328,0.035,0.016,0.3456675096499401,0.9425434936123772,nan,0.5537392725786677,0.6923739237392373,0.33579335793357934
See You Again (feat. Charlie Puth),Wiz Khalifa,https://m.tiktok.com/h5/share/music/7065419899367115526.html?language=en&source=h5_m&u_code=e0ci14jdcl6j36&_d=e0ci14jdcl6j36&share_music_id=7065419899367115526,471321455,14004,574.0,1491.0,2205.0,5124.0,nan,nan,0.303,0.174,0.035,0.016,0.057701037340910366,0.3658954584404456,nan,0.430327868852459,0.6761904761904762,0.26031746031746034
Hero (feat. Christina Perri),Cash Cash,https://www.tiktok.com/music/%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%89%E0%B8%9A%E0%B8%B1%E0%B8%9A-BTS-7036743804677819163?_r=1&language=en&source=h5_m&u_code=e0ci87lf8239mb&_d=e0ci87lf8239mb&share_music_id=7036743804677819163,471393764,11353,474.0,679.0,933.0,8216.0,nan,nan,0.303,0.174,0.035,0.016,0.054537885095753615,0.7236853695058575,nan,0.1135589094449854,0.7277599142550911,0.5080385852090032
Don't - Rick Ross Remix,Ed Sheeran,https://m.tiktok.com/h5/share/music/7065305930782919426.html?language=en&source=h5_m&u_code=e0ci878k382g4b&_d=e0ci878k382g4b&share_music_id=7065305930782919426,470257048,7167,426.0,862.0,1268.0,3665.0,nan,nan,0.102,0.058,0.035,0.016,0.07185953494678328,0.5113715641132971,nan,0.34597544338335606,0.6798107255520505,0.3359621451104101
Riptide,Vance Joy,https://m.tiktok.com/h5/share/music/7067295854935411502.html?language=en&source=h5_m&u_code=e0chh6jja0e2ml&_d=e0chh6jja0e2ml&share_music_id=7067295854935411502,472675028,8969,313.0,595.0,1218.0,5257.0,nan,nan,0.102,0.058,0.035,0.016,0.0683767388348499,0.5861300033448545,nan,0.23169107856191745,0.4885057471264368,0.2569786535303777
No Idea,Don Toliver,https://m.tiktok.com/h5/share/music/7066994449129212699.html?language=en&source=h5_m&u_code=e0che37c6mi52b&_d=e0che37c6mi52b&share_music_id=7066994449129212699,472708747,5971,272.0,561.0,791.0,3201.0,nan,nan,0.102,0.058,0.035,0.016,0.05929887570268586,0.53609110701725,nan,0.24711027803811308,0.7092288242730721,0.3438685208596713
Nail Tech,Jack Harlow,https://www.tiktok.com/music/Nail-Tech-7066033473110968321?_r=1&language=en&source=h5_m&u_code=e0ci461mi2g7lk&_d=e0ci461mi2g7lk&share_music_id=7066033473110968321,470994457,2888,231.0,492.0,701.0,1682.0,nan,nan,0.102,0.058,0.035,0.016,0.10482103725346964,0.582409972299169,nan,0.4167657550535077,0.7018544935805991,0.32952924393723254
No Idea,Don Toliver,https://m.tiktok.com/h5/share/music/7063716500305169178.html?language=en&source=h5_m&u_code=e0chm2fccfjmm6&_d=e0chm2fccfjmm6&share_music_id=7063716500305169178,472269742,4853,68.0,199.0,313.0,1212.0,nan,nan,0.102,0.058,0.035,0.016,0.031347265451311696,0.2497424273645168,nan,0.25825082508250824,0.6357827476038339,0.21725239616613418
Freaks,Surf Curse,https://www.tiktok.com/music/d%C5%BAwi%C4%99k-oryginalny-7066089642075982598?_r=1&language=en&source=h5_m&u_code=e0ci33h8ec04ma&_d=e0ci33h8ec04ma&share_music_id=7066089642075982598,472451833,5879,-55.0,-79.0,-109.0,5520.0,nan,nan,0.102,0.058,0.035,0.016,0.03757134353443738,0.9389351930600442,nan,-0.019746376811594205,0.7247706422018348,0.5045871559633027